,nombre_torneo,nombre,cant_goles,equipo
0,Liga Profesional Argentina 2017,D. Benedetto,21,Boca Juniors
1,Liga Profesional Argentina 2017,S. Driussi,17,River Plate
2,Liga Profesional Argentina 2017,J. Sand,15,Lanús
3,Liga Profesional Argentina 2017,M. Pavone,13,Vélez Sarsfield
4,Liga Profesional Argentina 2017,C. Luna,12,Tigre
5,Liga Profesional Argentina 2017,I. Scocco,12,Newell
6,Liga Profesional Argentina 2017,Lucas Alario,12,River Plate
7,Liga Profesional Argentina 2017,F. Zampedri,11,Atl.Tucumán
8,Liga Profesional Argentina 2017,E. Rigoni,11,Independiente
9,Liga Profesional Argentina 2017,N. Blandi,11,San Lorenzo
10,Liga Profesional Argentina 2018,S. Garcia,17,Godoy Cruz
11,Liga Profesional Argentina 2018,S. Ribas,13,Patronato
12,Liga Profesional Argentina 2018,Lautaro Martínez,13,Racing Club
13,Liga Profesional Argentina 2018,F. Soldano,11,Unión Santa Fe
14,Liga Profesional Argentina 2018,R. Ábila,10,CA Huracán
15,Liga Profesional Argentina 2018,I. Scocco,10,River Plate
16,Liga Profesional Argentina 2018,F. Márquez,10,Defensa y Justicia
17,Liga Profesional Argentina 2018,J. Correa,10,Godoy Cruz
18,Liga Profesional Argentina 2018,I. Pussetto,9,CA Huracán
19,Liga Profesional Argentina 2018,D. Benedetto,9,Boca Juniors
20,Liga Profesional Argentina 2019,L. López,17,Racing Club
21,Liga Profesional Argentina 2019,E. Gigliotti,12,Independiente
22,Liga Profesional Argentina 2019,L. Rodríguez,11,Atl.Tucumán
23,Liga Profesional Argentina 2019,F. Gonzalez,11,Tigre
24,Liga Profesional Argentina 2019,Matías Rojas,10,Defensa y Justicia
25,Liga Profesional Argentina 2019,D. Cvitanich,8,Banfield
26,Liga Profesional Argentina 2019,C. Chávez,8,Aldosivi
27,Liga Profesional Argentina 2019,N. Fernández,8,Defensa y Justicia
28,Liga Profesional Argentina 2019,S. Garcia,7,Godoy Cruz
29,Liga Profesional Argentina 2019,N. Blandi,7,San Lorenzo
30,Liga Profesional Argentina 2020,S. Romero,12,Independiente
31,Liga Profesional Argentina 2020,Santos Borré,12,River Plate
32,Liga Profesional Argentina 2020,J. Sand,10,Lanús
33,Liga Profesional Argentina 2020,C. Tévez,9,Boca Juniors
34,Liga Profesional Argentina 2020,C. Tarragona,9,Patronato
35,Liga Profesional Argentina 2020,N. Bustos,9,Talleres Córdoba
36,Liga Profesional Argentina 2020,B. Pitton,7,San Lorenzo
37,Liga Profesional Argentina 2020,G. Hauche,7,Argentinos Juniors
38,Liga Profesional Argentina 2020,Maxi Romero,7,Vélez Sarsfield
39,Liga Profesional Argentina 2020,Matías Suárez,7,River Plate
40,Liga Profesional Argentina 2021,Julián Álvarez,18,River Plate
41,Liga Profesional Argentina 2021,Marco Ruben,15,Rosario Central
42,Liga Profesional Argentina 2021,J. Sand,15,Lanús
43,Liga Profesional Argentina 2021,M. Tissera,14,Platense
44,Liga Profesional Argentina 2021,J. López,13,Lanús
45,Liga Profesional Argentina 2021,M. Ojeda,12,Godoy Cruz
46,Liga Profesional Argentina 2021,M. Giménez,11,Central Córdoba
47,Liga Profesional Argentina 2021,B. Romero,10,River Plate
48,Liga Profesional Argentina 2021,L. Díaz,10,Estudiantes La Plata
49,Liga Profesional Argentina 2021,S. Romero,10,Independiente
50,Liga Profesional Argentina 2022,Mateo Retegui,19,Tigre
51,Liga Profesional Argentina 2022,Franco Cristaldo,14,CA Huracán
52,Liga Profesional Argentina 2022,E. Copetti,11,Racing Club
53,Liga Profesional Argentina 2022,A. Bareiro,10,San Lorenzo
54,Liga Profesional Argentina 2022,Miguel Borja,9,River Plate
55,Liga Profesional Argentina 2022,R. López,9,Central Córdoba
56,Liga Profesional Argentina 2022,C. Colman,8,Arsenal de Sarandí
57,Liga Profesional Argentina 2022,L. Fernández,8,Independiente
58,Liga Profesional Argentina 2022,R. Ábila,8,Colón
59,Liga Profesional Argentina 2022,B. Armoa,8,Tigre
60,Liga Profesional Argentina 2023,Michael Santos,13,Talleres Córdoba
61,Liga Profesional Argentina 2023,P. Vegetti,13,Belgrano
62,Liga Profesional Argentina 2023,N. Fernández,12,Defensa y Justicia
63,Liga Profesional Argentina 2023,G. Ávalos,12,Argentinos Juniors
64,Liga Profesional Argentina 2023,Lucas Beltrán,12,River Plate
65,Liga Profesional Argentina 2023,M. Cauteruccio,11,Independiente
66,Liga Profesional Argentina 2023,Alejo Véliz,11,Rosario Central
67,Liga Profesional Argentina 2023,Mateo Retegui,11,Tigre
68,Liga Profesional Argentina 2023,L. Díaz,11,Lanús
69,Liga Profesional Argentina 2023,A. Martínez,11,Instituto
70,Copa Liga Profesional Argentina 2023,L. Passerini,9,Belgrano
71,Copa Liga Profesional Argentina 2023,Luciano Gondou,9,Argentinos Juniors
72,Copa Liga Profesional Argentina 2023,A. Bareiro,7,San Lorenzo
73,Copa Liga Profesional Argentina 2023,M. Cóccaro,6,CA Huracán
74,Copa Liga Profesional Argentina 2023,M. Merentiel,6,Boca Juniors
75,Copa Liga Profesional Argentina 2023,Miguel Borja,6,River Plate
76,Copa Liga Profesional Argentina 2023,Tomás Galván,5,Colón
77,Copa Liga Profesional Argentina 2023,A. Martínez,5,Instituto
78,Copa Liga Profesional Argentina 2023,Baltasar Rodríguez,5,Racing Club
79,Copa Liga Profesional Argentina 2023,S. Rondón,5,River Plate
